entity, label, occurrences
Pfizer - The Atlantic, ORG, 1
ONE, CARDINAL, 1
Zika - Reuters, ORG, 1
GlaxoSmithKline Plc, PERSON, 1
Sami, ORG, 1
up to 90, CARDINAL, 1
Trump, PERSON, 1
Phil, PERSON, 1
Marburg, PERSON, 1
The Boston Globe No, ORG, 1
seasonal, DATE, 1
Adam Bandt, PERSON, 1
Solar, PRODUCT, 1
as early as 2018, DATE, 1
Find Zika Vaccine, PERSON, 1
About 15, CARDINAL, 1
62, MONEY, 1
| Daily Mail Online A, ORG, 1
£62 million, MONEY, 1
Roshini Raj, PERSON, 1
Mosquito, PERSON, 1
surpasses 4,000, CARDINAL, 1
Nasal Vaccine, PERSON, 1
Europe - Business Insider, ORG, 1
about 400,000, CARDINAL, 1
nearly 15 years, DATE, 1
Childhood Vaccination Rates Climb, ORG, 1
NPR State, ORG, 1
2016 - Chicago Tribune, ORG, 1
Peter Akman, PERSON, 1
Meningitis W, FAC, 1
the Vaccine Alliance, ORG, 1
Last season, DATE, 1
H3N2, ORG, 1
the fall, DATE, 1
Robert De Niro’s, PERSON, 1
Measles Mumps, PERSON, 1
Rubella, ORG, 1
Hertfordshire, GPE, 1
Tribeca Film Festival Boots Film, PERSON, 1
Vaccines - WSJ, ORG, 1
Lance Rodewald, PERSON, 1
More than 50, CARDINAL, 1
Vaccine Scandal, PERSON, 1
New Zika, GPE, 1
James Deen, PERSON, 1
77,875, MONEY, 1
Koala, GPE, 1
six-week, DATE, 1
34, CARDINAL, 1
10-year-old, DATE, 1
Cancer Centers Urge Increase, ORG, 1
the Bay of Plenty, LOC, 1
Helen Bedford, PERSON, 1
David Elliman, PERSON, 1
Daraya, ORG, 1
up to a, DATE, 1
The Globe and Mail Canadian Cancer Society, ORG, 1
the past 20 years, DATE, 1
56 per cent, MONEY, 1
17 per cent, MONEY, 1
two weeks, DATE, 1
The Boston Globe A, ORG, 1
thirty, CARDINAL, 1
about 800, CARDINAL, 1
Weill Cornell Medicine, ORG, 1
about £3, MONEY, 1
West Derby, GPE, 1
Nesochi Igbokwe, PERSON, 1
the New York University Langone Medical Center, ORG, 1
CBSN, FAC, 1
EIGHT, CARDINAL, 1
Edinburgh, GPE, 1
Dana Jacobson, PERSON, 1
MSNBC, ORG, 1
Just a decade, DATE, 1
the next few decades, DATE, 1
Mid North, LOC, 1
Northland, GPE, 1
Northland DHB, ORG, 1
the Mid North, LOC, 1
girl.&#13, ORG, 1
14th February, DATE, 1
Evelina London Children's Hospital, FAC, 1
Faye Burdett, ORG, 1
Only one, CARDINAL, 1
as low as 7%, PERCENT, 1
Jennifer Stella’s, PERSON, 1
Vermont, GPE, 1
the Vermont Coalition, ORG, 1
Indiana University, ORG, 1
One day, DATE, 1
Kaiser Permanente, ORG, 1
The Globe and Mail Unlike, ORG, 1
every year, DATE, 1
- LA Times Health, ORG, 1
Victoria - ABC News Horse, ORG, 1
24, CARDINAL, 1
hours, TIME, 1
Tory MP, PERSON, 1
Sarah Wollaston, PERSON, 1
DW Business - Europe & Africa, ORG, 1
Deutsche, ORG, 1
7.2 Billion Dollar, MONEY, 1
Italian, NORP, 1
Paschi - WHO, ORG, 1
Western Australian, NORP, 1
Relocate Pregnant Family Members, ORG, 1
The Defense Department, ORG, 1
11.6M, PERCENT, 1
11.6 million, CARDINAL, 1
July 20, DATE, 1
Latin America's, LOC, 1
the Beth Israel Deaconess Medical Center, ORG, 1
Yellow Fever Outbreak Pressures Global Vaccine Supply, ORG, 1
Danish, NORP, 1
Baby Getting Vaccinated Ignites Online Squabble, ORG, 1
200, CARDINAL, 1
Angola ′serious,′, ORG, 1
Kenya, GPE, 1
HALF | Daily Mail, ORG, 1
nearly 60,000, CARDINAL, 1
the University of Western Australia, ORG, 1
13.08.2016, DATE, 1
Boko Haram, ORG, 1
World Immunization Week, EVENT, 1
CBS News New, ORG, 1
America - Mirror, ORG, 1
the age of 24, DATE, 1
CBC News FluMist, ORG, 1
Robert De Niro Defends Screening, PERSON, 1
Tribeca Festival -, EVENT, 1
More than 600, CARDINAL, 1
nearly two years, DATE, 1
A Care Quality Commission, ORG, 1
CQC, ORG, 1
Dr S Laybourn and Partners, FAC, 1
126, CARDINAL, 1
480, CARDINAL, 1
Commons Man, PRODUCT, 1
Zuckerberg, ORG, 1
